,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2023-01-27,134.44,135.488,133.7701,134.39,134.39,8143146.0,0.0,1.0
2023-01-26,137.53,138.27,132.98,134.45,134.45,17548483.0,0.0,1.0
2023-01-25,140.47,141.03,139.36,140.76,140.76,7347453.0,0.0,1.0
2023-01-24,141.25,142.75,140.0,141.49,141.49,4407622.0,0.0,1.0
2023-01-23,141.4,142.985,141.06,141.86,141.86,5898436.0,0.0,1.0
2023-01-20,141.67,141.86,140.51,141.2,141.2,7153341.0,0.0,1.0
2023-01-19,140.0,142.23,139.75,140.62,140.62,4833924.0,0.0,1.0
2023-01-18,144.4,144.678,140.225,140.41,140.41,6445642.0,0.0,1.0
2023-01-17,146.42,147.18,145.01,145.19,145.19,2986461.0,0.0,1.0
2023-01-13,144.06,146.1,144.01,145.89,145.89,2455786.0,0.0,1.0
2023-01-12,144.88,146.66,144.52,145.55,145.55,2716118.0,0.0,1.0
2023-01-11,145.0,145.53,143.45,145.26,145.26,3268738.0,0.0,1.0
2023-01-10,143.61,144.85,142.9,144.8,144.8,2152172.0,0.0,1.0
2023-01-09,144.08,145.47,143.4,143.55,143.55,3987782.0,0.0,1.0
2023-01-06,142.38,144.25,141.58,143.7,143.7,3574042.0,0.0,1.0
2023-01-05,142.44,142.498,140.01,141.11,141.11,2866648.0,0.0,1.0
2023-01-04,142.07,143.615,141.3675,142.6,142.6,3869236.0,0.0,1.0
2023-01-03,141.1,141.9,140.48,141.55,141.55,3338829.0,0.0,1.0
2022-12-30,140.54,140.9,139.45,140.89,140.89,2858110.0,0.0,1.0
2022-12-29,140.58,142.26,140.45,141.06,141.06,2337207.0,0.0,1.0
2022-12-28,142.4,142.81,139.95,140.02,140.02,2539577.0,0.0,1.0
2022-12-27,141.73,142.72,141.23,142.42,142.42,2742525.0,0.0,1.0
2022-12-23,140.59,141.8565,139.6,141.65,141.65,2092715.0,0.0,1.0
2022-12-22,140.95,141.44,138.62,140.88,140.88,3337851.0,0.0,1.0
2022-12-21,141.84,143.09,140.975,142.14,142.14,3793700.0,0.0,1.0
2022-12-20,138.84,141.425,138.34,141.28,141.28,5156450.0,0.0,1.0
2022-12-19,140.16,140.44,137.195,138.87,138.87,5282860.0,0.0,1.0
2022-12-16,141.25,141.915,138.97,140.16,140.16,9834427.0,0.0,1.0
2022-12-15,148.52,148.98,141.58,142.36,142.36,6687744.0,0.0,1.0
2022-12-14,150.47,151.91,148.45,149.86,149.86,4205878.0,0.0,1.0
2022-12-13,150.37,153.21,149.95,150.57,150.57,8811553.0,0.0,1.0
2022-12-12,147.82,149.21,146.9426,149.21,149.21,4032780.0,0.0,1.0
2022-12-09,147.4,148.34,146.97,147.05,147.05,3047581.0,0.0,1.0
2022-12-08,147.9,149.153,147.365,147.78,147.78,2665687.0,0.0,1.0
2022-12-07,147.33,148.105,146.29,147.27,147.27,3971285.0,0.0,1.0
2022-12-06,147.3,147.8,146.7,147.5,147.5,2847610.0,0.0,1.0
2022-12-05,147.94,148.93,146.8,147.41,147.41,2784767.0,0.0,1.0
2022-12-02,148.13,149.16,147.73,148.67,148.67,2899995.0,0.0,1.0
2022-12-01,149.98,150.01,147.34,149.16,149.16,4495924.0,0.0,1.0
2022-11-30,146.19,149.64,145.67,148.9,148.9,6377582.0,0.0,1.0
2022-11-29,145.91,147.1668,145.7,146.49,146.49,2754744.0,0.0,1.0
2022-11-28,147.98,148.24,145.935,146.18,146.18,3538696.0,0.0,1.0
2022-11-25,148.27,149.49,148.101,148.37,148.37,2075156.0,0.0,1.0
2022-11-23,149.1,150.46,148.3,148.75,148.75,3658459.0,0.0,1.0
2022-11-22,147.6,149.35,147.02,149.1,149.1,7062060.0,0.0,1.0
2022-11-21,147.55,147.928,146.45,146.68,146.68,3476208.0,0.0,1.0
2022-11-18,146.56,148.31,145.94,147.64,147.64,4661735.0,0.0,1.0
2022-11-17,143.41,146.18,143.25,146.09,146.09,3955162.0,0.0,1.0
2022-11-16,144.13,144.95,144.0081,144.52,144.52,3445302.0,0.0,1.0
2022-11-15,144.08,146.1609,142.0,144.34,144.34,4727107.0,0.0,1.0
2022-11-14,142.63,146.08,142.18,144.2,144.2,5245624.0,0.0,1.0
2022-11-11,141.5,144.13,140.96,143.17,143.17,5871264.0,0.0,1.0
2022-11-10,140.26,141.37,138.29,141.23,141.23,5389025.0,0.0,1.0
2022-11-09,137.95,138.9,136.94,137.39,137.39,4720007.0,1.65,1.0
2022-11-08,139.0,140.93,138.72,140.04,138.378132911392,5042756.0,0.0,1.0
2022-11-07,136.64,138.7,136.51,138.34,136.698306962025,4043062.0,0.0,1.0
2022-11-04,135.65,137.73,134.94,136.96,135.334683544304,4177972.0,0.0,1.0
2022-11-03,136.42,136.48,133.97,134.47,132.874232594937,4442443.0,0.0,1.0
2022-11-02,137.75,140.17,136.8,136.83,135.206226265823,5365264.0,0.0,1.0
2022-11-01,138.25,138.65,136.7,138.2,136.55996835443,3590607.0,0.0,1.0
2022-10-31,138.06,138.7699,136.595,138.29,136.648900316456,4915270.0,0.0,1.0
2022-10-28,135.56,138.8615,135.22,138.51,136.866289556962,5965457.0,0.0,1.0
2022-10-27,135.55,136.4,134.445,134.77,133.170672468354,3993168.0,0.0,1.0
2022-10-26,133.72,135.863,132.81,135.01,133.407824367089,5140023.0,0.0,1.0
2022-10-25,132.0,133.3,131.3,132.93,131.352507911392,5957623.0,0.0,1.0
2022-10-24,130.9,133.11,129.85,132.69,131.115356012658,5610914.0,0.0,1.0
2022-10-21,128.39,130.845,127.59,129.9,128.358465189873,7201256.0,0.0,1.0
2022-10-20,126.25,128.96,125.15,128.3,126.777452531646,13623115.0,0.0,1.0
2022-10-19,122.36,123.94,121.9875,122.51,121.056162974684,5906576.0,0.0,1.0
2022-10-18,123.0,123.94,121.82,122.94,121.481060126582,5120336.0,0.0,1.0
2022-10-17,121.8,122.875,121.43,121.52,120.077911392405,5458585.0,0.0,1.0
2022-10-14,121.8,122.54,119.84,120.04,118.615474683544,3763840.0,0.0,1.0
2022-10-13,116.1,122.15,115.545,121.79,120.344707278481,5837645.0,0.0,1.0
2022-10-12,118.0,118.81,117.2,117.57,116.174786392405,3338754.0,0.0,1.0
2022-10-11,117.46,119.23,116.94,117.8,116.402056962025,4043265.0,0.0,1.0
2022-10-10,119.79,119.96,117.04,117.75,116.352650316456,5990008.0,0.0,1.0
2022-10-07,121.5,121.8016,118.07,118.82,117.409952531646,4499672.0,0.0,1.0
2022-10-06,124.88,125.3,121.77,122.23,120.779485759494,5074624.0,0.0,1.0
2022-10-05,124.71,126.46,124.23,125.74,124.247832278481,3212872.0,0.0,1.0
2022-10-04,122.8,125.65,122.52,125.5,124.010680379747,4566055.0,0.0,1.0
2022-10-03,120.16,122.21,119.6,121.51,120.068030063291,4261729.0,0.0,1.0
2022-09-30,121.66,122.43,118.61,118.81,117.400071202532,5346108.0,0.0,1.0
2022-09-29,121.85,122.62,120.57,121.63,120.186606012658,3817723.0,0.0,1.0
2022-09-28,121.65,123.23,119.81,122.76,121.303196202532,4996378.0,0.0,1.0
2022-09-27,122.6,123.95,121.08,121.74,120.295300632911,4117215.0,0.0,1.0
2022-09-26,122.3,124.26,121.75,122.01,120.562096518987,3987817.0,0.0,1.0
2022-09-23,124.53,125.0,121.74,122.71,121.253789556962,5195693.0,0.0,1.0
2022-09-22,124.76,126.51,124.41,125.31,123.822935126582,4038335.0,0.0,1.0
2022-09-21,126.89,127.84,124.92,124.93,123.447444620253,3389545.0,0.0,1.0
2022-09-20,126.9,126.99,125.52,126.3,124.801186708861,2837485.0,0.0,1.0
2022-09-19,126.49,128.06,126.28,127.73,126.214216772152,3981606.0,0.0,1.0
2022-09-16,124.36,127.53,123.83,127.27,125.759675632911,9839696.0,0.0,1.0
2022-09-15,127.39,127.465,124.9,125.49,124.000799050633,5141671.0,0.0,1.0
2022-09-14,127.5,129.0,126.845,127.69,126.174691455696,3819067.0,0.0,1.0
2022-09-13,129.14,129.909,126.7709,127.25,125.739912974684,4565585.0,0.0,1.0
2022-09-12,130.33,130.99,129.89,130.66,129.109446202532,3741168.0,0.0,1.0
2022-09-09,128.9,129.49,128.06,129.19,127.656890822785,3293365.0,0.0,1.0
2022-09-08,127.2,128.54,126.59,128.47,126.945435126582,2964613.0,0.0,1.0
2022-09-07,126.69,127.8667,126.28,127.71,126.194454113924,2401513.0,0.0,1.0
2022-09-06,127.8,128.06,126.3,126.72,125.216202531646,3345343.0,0.0,1.0
